Username,Yang sudah diskalakan,,,,,,,Yang belum diskalakan,,,,,,,,,,
,att1,att2,att3,att4,att5,att6,label,att1,att2,att3,att4,att5,att6,Atribut,Rata,Deviasi,Min,Max
pet_alderaa_,0,0,18.23531612,14.88366667,10.867,1.134333333,2,0,0,0.182353161,446.5100001,326.01,34.02999999,,,,,
pet_amurphy2367,4.14444263,11.30723882,8.851798975,14.89,21.81133333,17.78633333,2,0.041444426,0.113072388,0.08851799,446.7,654.3399999,533.5899999,,,,,
pet_bearded_charlie,0,4.077319815,6.285178056,3.404,77.052,6.798,2,0,0.040773198,0.062851781,102.12,2311.56,203.94,,,,,
pet_chipobelegur,0,47.649506,0,1.351,92.55866667,2.091,2,0,0.47649506,0,40.53,2776.76,62.73,,,,,
pet_cindyshankle,0,0,0,6.979333333,37.07833333,15.54933333,2,0,0,0,209.38,1112.35,466.4799999,,,,,
pet_daisyragdoll,2.639830909,24.15203253,2.875241968,5.175666667,84.06266667,0,2,0.026398309,0.241520325,0.02875242,155.27,2521.88,0,,,,,
pet_dappleccino,0,1.880162821,0,0.084333333,99.586,0,2,0,0.018801628,0,2.52999999,2987.58,0,,,,,
pet_deenum7,0,50.13023708,0,18.316,51.534,14.46966667,2,0,0.501302371,0,549.48,1546.02,434.0900001,,,,,
pet_dejavu_colorado,0,6.121763666,0,6.823333333,43.14266667,20.174,2,0,0.061217637,0,204.7,1294.28,605.22,,,,,
pet_dezthepitmix,0,31.6655073,7.363703482,2.223,67.44366667,0,2,0,0.316655073,0.073637035,66.69,2023.31,0,,,,,
pet_existentialpuppy,0,17.84811192,0,9.969666667,49.826,7.878,2,0,0.178481119,0,299.09,1494.78,236.34,,,,,
pet_hannekewes92,0,13.76001263,31.63893654,0.040333333,20.819,74.50133333,2,0,0.137600126,0.316389365,1.20999999,624.57,2235.04,,,,,
pet_king_gizmo27,0,41.29190052,0,7.186666667,89.707,0,2,0,0.412919005,0,215.6,2691.21,0,,,,,
pet_love2foster,0,254.5333175,0,8.558666667,82.24933333,0.087,2,0,2.545333175,0,256.76,2467.48,2.61,,,,,
pet_maggadutti8,0,100.2696627,140.30915,3.493,53.16733333,30.905,2,0,1.002696627,1.4030915,104.79,1595.02,927.15,,,,,
pet_maximusthegladiatorkitty,0,59.48697944,0,0.003666667,99.99133333,0,2,0,0.594869794,0,0.11000001,2999.74,0,,,,,
pet_meneer.guus,0.689355684,0,0,4.487666667,84.32333333,1.231,2,0.006893557,0,0,134.63,2529.7,36.93,,,,,
pet_mezos,0,15.01359713,0,8.630333333,26.37266667,2.143333333,2,0,0.150135971,0,258.91,791.1800001,64.29999999,,,,,
pet_miss.tanja,0,5.940637451,0,22.865,27.697,6.902666667,2,0,0.059406375,0,685.95,830.91,207.08,,,,,
pet_mrpawesome,1.105015068,1.825794677,0,8.152666667,78.96766667,0.909333333,2,0.011050151,0.018257947,0,244.58,2369.03,27.27999999,,,,,
pet_nairandbjorn,0,22.43005784,0,33.81566667,29.077,2.454666667,2,0,0.224300578,0,1014.47,872.31,73.64000001,,,,,
pet_nairiet,0,87.44090435,0,8.906,57.42033333,0,2,0,0.874409044,0,267.18,1722.61,0,,,,,
pet_otis2013,9.060553729,127.7168899,0,0.339333333,26.07433333,6.517333333,2,0.090605537,1.277168899,0,10.17999999,782.2299999,195.52,,,,,
pet_rachel_noell,0,0,0,15.833,25.89133333,3.647666667,2,0,0,0,474.99,776.7399999,109.43,,,,,
pet_ridhasebayang,0,0,2.158705393,13.22566667,3.995,43.397,2,0,0,0.021587054,396.7700001,119.85,1301.91,,,,,
pet_samomajamax_,0,6.397413378,0,1.934333333,21.035,20.076,2,0,0.063974134,0,58.02999999,631.05,602.28,,,,,
pet_shitzuwaytion,0,0,0,9.679333333,85.956,0,2,0,0,0,290.38,2578.68,0,,,,,
pet_shunshine222,0,64.49930936,7.183060635,4.049,62.50366667,0,2,0,0.644993094,0.071830606,121.47,1875.11,0,,,,,
pet_snagsandwhisky,0,20.89359664,0,8.520333333,66.424,5.999,2,0,0.208935966,0,255.61,1992.72,179.97,,,,,
pet_sofie.rae._the_pomeranian,0,25.40359359,0,0.176666667,93.992,0,2,0,0.254035936,0,5.30000001,2819.76,0,,,,,
pet_starla_belle,0,7.940272014,0,0.088,99.69633333,0,2,0,0.07940272,0,2.64,2990.89,0,,,,,
pet_texasfurbabies,0,0,0,10.38366667,73.89166667,3.658666667,2,0,0,0,311.5100001,2216.75,109.76,,,,,
pet_the_3_muskateers,0,88.11392496,0,17.59,56.42833333,4.730333333,2,0,0.88113925,0,527.7,1692.85,141.91,,,,,
pet_thewhiteruby,0,30.99362726,0,3.024333333,90.16966667,0,2,0,0.309936273,0,90.72999999,2705.09,0,,,,,
pet_tuckers_tails,0,1.683655708,0,2.290666667,84.17333333,8.331333333,2,0,0.016836557,0,68.72000001,2525.2,249.94,,,,,
pet_venning7,0,31.49495817,5.782799102,5.076666667,34.48633333,29.929,2,0,0.314949582,0.057827991,152.3,1034.59,897.87,,,,,
pet_widybear,0,15.85859473,0,6.613,21.279,37.92933333,2,0,0.158585947,0,198.39,638.37,1137.88,,,,,
pet_xiaoping_chace_tink,0,82.54644149,0,0.878666667,88.05066667,3.450666667,2,0,0.825464415,0,26.36000001,2641.52,103.52,,,,,
pet_ycatsnnyl,0,101.7382637,0,12.486,74.06166667,5.107666667,2,0,1.017382637,0,374.58,2221.85,153.23,,,,,
traveling__oscarespinosa,0,0,4.04048987,4.054,1.006666667,57.79766667,3,0,0,0.040404899,121.62,30.20000001,1733.93,,,,,
traveling_asihsimanis,0,0.87402838,6.113431657,0.365333333,1.011,80.20133333,3,0,0.008740284,0.061134317,10.95999999,30.33,2406.04,,,,,
traveling_christianty,3.149495817,0,5.766888652,12.876,0.245,13.20833333,3,0.031494958,0,0.057668887,386.28,7.35,396.2499999,,,,,
traveling_dianamegaa,0,4.374592382,31.00710009,3.48,6.924333333,17.50833333,3,0,0.043745924,0.310071001,104.4,207.73,525.2499999,,,,,
traveling_diansubrata,0,2.988572673,44.73666451,1.942333333,0.073666667,69.38466667,3,0,0.029885727,0.447366645,58.26999999,2.21000001,2081.54,,,,,
traveling_dionwiyoko,0,0,4.437492056,1.794,6.856333333,59.37333333,3,0,0,0.044374921,53.82,205.69,1781.2,,,,,
traveling_dummit86,0,0,89.17152827,2.092666667,2.813,42.42066667,3,0,0,0.891715283,62.78000001,84.39,1272.62,,,,,
traveling_egoitzzarallo,0,11.60064293,14.04462033,9.141333333,3.16,52.12266667,3,0,0.116006429,0.140446203,274.24,94.8,1563.68,,,,,
traveling_emiralda,0,0,4.208577377,5.130666667,0.328666667,16.57433333,3,0,0,0.042085774,153.92,9.86000001,497.2299999,,,,,
traveling_fitbackpacker,0,0,107.8130961,0.215,3.498666667,79.038,3,0,0,1.078130961,6.45,104.96,2371.14,,,,,
traveling_gabriellagita,0,0,6.270056615,19.416,0.267666667,19.21,3,0,0,0.062700566,582.48,8.03000001,576.3,,,,,
traveling_gazmt,0,0,19.10293412,7.399333333,1.011666667,47.035,3,0,0,0.191029341,221.98,30.35000001,1411.05,,,,,
traveling_gdscano,1.922227494,1.922227494,61.64464392,4.115666667,0.394,64.078,3,0.019222275,0.019222275,0.616446439,123.47,11.82,1922.34,,,,,
traveling_ghinarifqia,0,24.03573249,4.25386448,3.567,57.695,0.757333333,3,0,0.240357325,0.042538645,107.01,1730.85,22.71999999,,,,,
traveling_harrieram,2.720494726,0,19.23388629,10.85033333,0.493333333,41.353,3,0.027204947,0,0.192338863,325.5099999,14.79999999,1240.59,,,,,
traveling_hermawan_cly_x,0,0,35.91336977,0.703666667,4.890333333,51.72466667,3,0,0,0.359133698,21.11000001,146.71,1551.74,,,,,
traveling_humanfrom90s,0,0,18.75049243,0.878666667,6.738666667,60.00033333,3,0,0,0.187504924,26.36000001,202.16,1800.01,,,,,
traveling_innocento17,0,0,9.077466504,18.884,0.743666667,20.93833333,3,0,0,0.090774665,566.52,22.31000001,628.1499999,,,,,
traveling_isabellecathrin,0,0,23.88618773,5.658666667,7.785,39.924,3,0,0,0.238861877,169.76,233.55,1197.72,,,,,
traveling_jondya,0,0,3.12254152,13.97566667,3.14,23.23466667,3,0,0,0.031225415,419.2700001,94.2,697.0400001,,,,,
traveling_kezban_akdag,27.15402134,0,80.37288943,12.11933333,13.85633333,60.89066667,3,0.271540213,0,0.803728894,363.5799999,415.6899999,1826.72,,,,,
traveling_kholishra,0,0,24.29409288,8.177333333,7.699,26.45433333,3,0,0,0.242940929,245.32,230.97,793.6299999,,,,,
traveling_liadewanti,0,0,11.01536917,22.53833333,0.135,0,3,0,0,0.110153692,676.1499999,4.05,0,,,,,
traveling_lukespartacus,0,0,16.03181518,8.006333333,7.804333333,48.57933333,3,0,0,0.160318152,240.19,234.13,1457.38,,,,,
traveling_masyhonas,0,0,17.20525135,18.84566667,0.417333333,35.32233333,3,0,0,0.172052513,565.3700001,12.51999999,1059.67,,,,,
traveling_misedventure,0,0,9.937510533,4.309666667,0.65,36.55433333,3,0,0,0.099375105,129.29,19.5,1096.63,,,,,
traveling_nadinelist,0,0,9.912372187,5.876333333,1.930666667,28.684,3,0,0,0.099123722,176.29,57.92000001,860.52,,,,,
traveling_pertifektionxx,0,0,2.430679489,22.13266667,19.52633333,14.19733333,3,0,0,0.024306795,663.9800001,585.7899999,425.9199999,,,,,
traveling_petitebears,0,0,51.16772583,4.920666667,4.210333333,35.59766667,3,0,0,0.511677258,147.62,126.31,1067.93,,,,,
traveling_pkd_official,0,0,0,15.10966667,4.571333333,19.92166667,3,0,0,0,453.2900001,137.14,597.6500001,,,,,
traveling_rosiebondi,0,0,168.540358,1.396,0.807333333,82.21966667,3,0,0,1.68540358,41.88,24.21999999,2466.59,,,,,
traveling_rotuanuraini,0,12.21399805,29.73856029,3.344333333,0.893,11.18,3,0,0.12213998,0.297385603,100.33,26.79,335.4,,,,,
traveling_shasya_santoso,0,0,103.1848147,1.333,0.154666667,7.709,3,0,0,1.031848147,39.99,4.64000001,231.27,,,,,
traveling_she_whowanders,0,0,29.38850252,19.837,0.428,43.09566667,3,0,0,0.293885025,595.11,12.84,1292.87,,,,,
traveling_thaismadnight,0,0,41.60155825,4.908333333,0.598333333,19.24133333,3,0,0,0.416015583,147.25,17.94999999,577.2399999,,,,,
traveling_tiomagdalena,0,0,7.880678963,14.98366667,2.246,7.714333333,3,0,0,0.07880679,449.5100001,67.38,231.43,,,,,
traveling_trinitytraveler,0,0,11.2481904,3.269,3.475666667,70.74566667,3,0,0,0.112481904,98.07,104.27,2122.37,,,,,
traveling_waczze,0,0,6.489040895,9.103666667,0.136,37.04466667,3,0,0,0.064890409,273.11,4.08,1111.34,,,,,
traveling_widya.n.wijaya,0,0,4.7190445,3.609333333,5.615666667,65.23333333,3,0,0,0.047190445,108.28,168.47,1957,,,,,
traveling_yudhass,0,0,89.65589704,5.678666667,1.727,52.82233333,3,0,0,0.89655897,170.36,51.81,1584.67,,,,,
